make,model,price_value,price_currency,year,engine,mileage_km,city,url
Lynk,& Co 900,104900.0,AZN,2026,1.5 L,0,Bakı,https://turbo.az/autos/10010152-lynk-co-900
Li,Auto L9,125800.0,AZN,2025,1.5 L,0,Bakı,https://turbo.az/autos/10057115-li-auto-l9
CFMOTO,450 CL-C BOBBER,10300.0,AZN,2025,,99,Bakı,https://turbo.az/autos/10565336-cfmoto-450-cl-c-bobber
Hyundai,Avante,21000.0,AZN,2015,1.6 L,137000,Bakı,https://turbo.az/autos/10633040-hyundai-avante
Land,Rover Defender,121000.0,AZN,2021,3.0 L,136000,Bakı,https://turbo.az/autos/10320565-land-rover-defender
Audi,A8,8800.0,AZN,2003,3.7 L,173000,Bakı,https://turbo.az/autos/10464663-audi-a8
Mercedes,E 200,18500.0,AZN,1994,2.0 L,156600,Bakı,https://turbo.az/autos/10577381-mercedes-e-200
BMW,325,16500.0,AZN,1995,2.5 L,250000,Bakı,https://turbo.az/autos/10586458-bmw-325
Mercedes,S 320,20000.0,AZN,1993,3.2 L,166000,Bakı,https://turbo.az/autos/10606572-mercedes-s-320
Hyundai,Accent,16900.0,AZN,2017,1.6 L,199578,Bakı,https://turbo.az/autos/10616033-hyundai-accent
BMW,325,7700.0,AZN,2000,2.5 L,270000,Bakı,https://turbo.az/autos/10628993-bmw-325
Changan,CS 75 Plus,50900.0,AZN,2026,1.5 L,10,Bakı,https://turbo.az/autos/10630568-changan-cs-75-plus
Hyundai,Elantra,33499.0,AZN,2026,1.5 L,0,Bakı,https://turbo.az/autos/10465281-hyundai-elantra
Kia,Sportage,20600.0,AZN,2011,2.0 L,162676,Bakı,https://turbo.az/autos/10636260-kia-sportage
Changan,CS 55 Plus,33899.0,AZN,2026,1.5 L,0,Bakı,https://turbo.az/autos/10516300-changan-cs-55-plus
Mercedes,190,3900.0,AZN,1992,2.3 L,350000,Bakı,https://turbo.az/autos/10636287-mercedes-190
Mercedes,Atego 818,38000.0,AZN,2011,4.3 L,403000,Bakı,https://turbo.az/autos/7953875-mercedes-atego-818
Kia,Optima,20900.0,AZN,2017,1.6 L,283518,Bakı,https://turbo.az/autos/10633670-kia-optima
Toyota,Land Cruiser Prado,23800.0,AZN,2004,2.7 L,189000,Bakı,https://turbo.az/autos/10628661-toyota-land-cruiser-prado
Kia,Sorento,27300.0,AZN,2012,2.0 L,271000,Bakı,https://turbo.az/autos/10636251-kia-sorento
Nissan,Note,15500.0,AZN,2020,1.2 L,181000,Bakı,https://turbo.az/autos/10476702-nissan-note
Porsche,Cayenne,79000.0,AZN,2019,3.0 L,148000,Bakı,https://turbo.az/autos/9700309-porsche-cayenne
BMW,328,22900.0,AZN,2015,2.0 L,142000,Bakı,https://turbo.az/autos/10363043-bmw-328
Mercedes,GLC 200 4MATIC Coupe,165462.0,AZN,2026,2.0 L,0,Bakı,https://turbo.az/autos/10506173-mercedes-glc-200-4matic-coupe
Hyundai,i10,7900.0,AZN,2009,1.2 L,300000,Bakı,https://turbo.az/autos/10636290-hyundai-i10
Hyundai,Sonata,34300.0,AZN,2020,1.6 L,89600,Bakı,https://turbo.az/autos/10636283-hyundai-sonata
Chevrolet,Aveo,17200.0,AZN,2019,1.6 L,92762,Bakı,https://turbo.az/autos/10477218-chevrolet-aveo
Chevrolet,Malibu,18900.0,AZN,2020,1.5 L,130100,Biləsuvar,https://turbo.az/autos/10313836-chevrolet-malibu
Land,Rover Range Rover,53000.0,AZN,2017,3.0 L,195000,Bakı,https://turbo.az/autos/10636291-land-rover-range-rover
BMW,320,27200.0,AZN,2016,2.0 L,179500,Bakı,https://turbo.az/autos/10590380-bmw-320
Hyundai,i30,12900.0,AZN,2008,1.6 L,297000,Bakı,https://turbo.az/autos/10636289-hyundai-i30
Chevrolet,Malibu,18300.0,AZN,2018,1.5 L,172000,Gəncə,https://turbo.az/autos/10619710-chevrolet-malibu
Toyota,Camry,59000.0,AZN,2021,2.5 L,150000,Bakı,https://turbo.az/autos/10450498-toyota-camry
BENDA,Dark Flag 950,22490.0,AZN,2025,1.0 L,0,Bakı,https://turbo.az/autos/10186249-benda-dark-flag-950
